Company,QueryID,SubQueryID,Relation ID,IsFK,ParentTableID,ChildTableID,JoinType,SystemFlag,SysRevID,SysRowID
,COM-90DaysSubcontShip,0ff2612f-c11a-42d4-ae28-2f2683bb747d,5d0249e8-383a-4d14-8301-836df7bb747d,FALSE,SubShipD,SubShipH,Inner,TRUE,278407959,57bfeee1-553d-412d-8272-b25a00df762b
,COM-90DaysSubcontShip,0ff2612f-c11a-42d4-ae28-2f2683bb747d,a6d425e5-7b94-426f-8d17-836df7bb747d,FALSE,SubShipH,Vendor,LeftOuter,TRUE,278407960,81e21b4c-b67a-4466-a216-b25a00df7630
,COM-90DaysSubcontShip,0ff2612f-c11a-42d4-ae28-2f2683bb747d,cff43998-5d02-44cc-9296-836df7bb747d,FALSE,SubShipD,PORel,LeftOuter,TRUE,278407961,abd43564-a107-4f27-9900-b25a00df7630
,COM-90DaysSubcontShip,0ff2612f-c11a-42d4-ae28-2f2683bb747d,51acfdcd-5c10-458f-bca5-836df7bb747d,FALSE,PORel,PODetail,Inner,TRUE,278407962,0a8deb9f-d962-4d19-94c4-b25a00df7630
,COM-90DaysSubcontShip,0ff2612f-c11a-42d4-ae28-2f2683bb747d,2c195fb7-f24e-4a6a-bdf2-836df7bb747d,FALSE,SubShipD,JobOper,LeftOuter,TRUE,278407963,bf19eb90-2732-4a33-a4e7-b25a00df7630
,COM-CustContacts,02272c43-695a-4854-8fb0-0b3a3877067e,da216080-cb8e-4d16-8e0b-b1539377067e,FALSE,CustCnt,RoleCd,LeftOuter,TRUE,278407964,d18dfd14-06b8-4161-b5c6-b25a00df7630
,COM-CustContacts,02272c43-695a-4854-8fb0-0b3a3877067e,68b47974-4f15-4388-9873-d2a19377067e,FALSE,CustCnt,ShipTo,Inner,TRUE,278407965,be0a456c-d677-451b-8d4a-b25a00df7630
,COM-Customer4Dash,cbb288b9-6a91-4084-8264-cdb944d60a7e,37da84ee-af63-4101-b964-b7f48fd60a7e,FALSE,Customer,SalesRep,LeftOuter,TRUE,278407966,8bdd789a-1f80-4578-adb5-b25a00df7630
,COM-CustomerSalesTasks,ac131492-7106-4578-a7c4-224a693d1d7e,a9766772-068b-4e18-a2cb-8d7dc13d1d7e,FALSE,Task,Customer,Inner,TRUE,278407967,0aa39702-25f3-4e07-9687-b25a00df7630
,COM-CustomerSalesTasks,ac131492-7106-4578-a7c4-224a693d1d7e,151058e0-27a3-44aa-a590-8d7dc13d1d7e,FALSE,Task,SalesRep,LeftOuter,TRUE,278407968,11568775-9cce-4d33-87f7-b25a00df7630
,COM-CustTrackerCRMCalls,b63d2605-87ce-4032-9810-e8eeaf951d7e,968f215f-06b5-43eb-8b4e-8121ff951d7e,FALSE,CRMCall,CustCnt,LeftOuter,TRUE,278407969,0a8fb7f0-3c89-465d-bf03-b25a00df7630
,COM-CustTrackerCRMCalls,b63d2605-87ce-4032-9810-e8eeaf951d7e,25eb1038-f0a8-4efc-a4ce-8121ff951d7e,FALSE,CRMCall,Customer,LeftOuter,TRUE,278407970,ee8f036f-7d95-4e48-be04-b25a00df7630
,COM-CustTrackerCRMCalls,b63d2605-87ce-4032-9810-e8eeaf951d7e,439d5dc8-da78-444b-bfb3-8121ff951d7e,FALSE,CRMCall,SalesRep,LeftOuter,TRUE,278407971,3e676765-078f-4912-91ab-b25a00df7630
,COM-InvoicesPerCustomer,3379870f-8491-481a-8e3f-78ae97b7217e,693642cf-e163-4846-8b70-cfa12ab8217e,FALSE,InvcHead,Customer,Inner,TRUE,278407972,ac1d9327-15e1-43b7-8266-b25a00df7630
,COM-InvoicesPerCustomer,3379870f-8491-481a-8e3f-78ae97b7217e,d7ec7865-bdcb-43b7-aece-cfa12ab8217e,FALSE,InvcDtl,ProdGrup,LeftOuter,TRUE,278407973,ca8a3635-256e-4f5b-a247-b25a00df7630
,COM-InvoicesPerCustomer,3379870f-8491-481a-8e3f-78ae97b7217e,c8314e8d-ee60-476a-b422-cfa12ab8217e,FALSE,InvcHead,InvcDtl,Inner,TRUE,278407974,90a3178f-9484-48d3-90d4-b25a00df7630
,COM-JobStatusMain,0d06f5ab-5b6a-482b-b1d8-88e112d9217e,67a0bd22-8402-4f27-8bad-2b193ad9217e,FALSE,JobHead,SalesRep,LeftOuter,TRUE,278407975,36fbef21-265f-42ea-8b5a-b25a00df7630
,COM-OrdersPerCustomer,3b50a970-8a34-4888-8687-1b034890247e,e2877b31-a97f-4c12-82cb-e2c7e790247e,FALSE,OrderHed,Customer,Inner,TRUE,278407976,85edcb9c-f73c-4b99-b652-b25a00df7630
,COM-OrdersPerCustomer,3b50a970-8a34-4888-8687-1b034890247e,64220208-765e-4e77-8f6a-e2c7e790247e,FALSE,OrderDtl,OrderHed,Inner,TRUE,278407977,42e0f9a0-d047-4236-8fce-b25a00df7630
,COM-OrdersPerCustomer,3b50a970-8a34-4888-8687-1b034890247e,c1a6fa2e-f02a-4d5b-9b48-e2c7e790247e,FALSE,OrderDtl,OrderMsc,LeftOuter,TRUE,278407978,e3546c1c-e9cb-4243-844c-b25a00df7630
,COM-OrdersPerCustomer,3b50a970-8a34-4888-8687-1b034890247e,5e2af36a-3157-470f-a4d2-e2c7e790247e,FALSE,OrderDtl,ProdGrup,LeftOuter,TRUE,278407979,b8d85772-cc5c-4a3b-8829-b25a00df7630
,COM-OrdersPerCustomer,3b50a970-8a34-4888-8687-1b034890247e,f9a86045-f28c-4d50-b16d-e2c7e790247e,FALSE,OrderHed,SalesRep,LeftOuter,TRUE,278407980,9c67e9ed-29d0-4678-b27c-b25a00df7630
,COM-PoRelease,32bdda4b-5725-40aa-9360-8e14572c297e,e4a7f31a-b8bb-4500-8590-baeba22c297e,FALSE,PORel,JobHead,LeftOuter,TRUE,278407981,76a832db-76fe-4d68-8992-b25a00df7630
,COM-PoRelease,32bdda4b-5725-40aa-9360-8e14572c297e,f4da6e6c-bb96-43e9-963d-baeba22c297e,FALSE,POHeader,Vendor,Inner,TRUE,278407982,bc891838-9b81-4fdc-86f4-b25a00df7630
,COM-PoRelease,32bdda4b-5725-40aa-9360-8e14572c297e,98eb5507-9d70-4cf5-a049-baeba22c297e,FALSE,JobHead,SalesRep,LeftOuter,TRUE,278407983,d54db62d-dd77-4c20-9555-b25a00df7630
,COM-PoRelease,32bdda4b-5725-40aa-9360-8e14572c297e,720a4e4d-f159-432c-b26e-baeba22c297e,FALSE,PODetail,PORel,Inner,TRUE,278407984,194218ea-759d-45f0-896e-b25a00df7630
,COM-PoRelease,32bdda4b-5725-40aa-9360-8e14572c297e,332943ed-4512-401d-ba4c-baeba22c297e,FALSE,POHeader,PODetail,Inner,TRUE,278407985,16c75d9f-90c6-4d6f-8ff4-b25a00df7630
,COM-ShipmentsPerCustomer,b68c773f-9965-4ac4-8c8d-f047cab8327e,4c6eb8f3-b94c-4882-9450-e85a3bb9327e,FALSE,ShipHead,Customer,Inner,TRUE,278407986,000568ef-07ec-47c0-9a73-b25a00df7630
,COM-ShipmentsPerCustomer,b68c773f-9965-4ac4-8c8d-f047cab8327e,7858e3ab-1ba1-4da6-b124-e85a3bb9327e,FALSE,ShipDtl,OrderRel,Inner,TRUE,278407987,96037c44-9b91-448e-a441-b25a00df7630
,COM-ShipmentsPerCustomer,b68c773f-9965-4ac4-8c8d-f047cab8327e,07512a85-eb14-48e9-b13e-e85a3bb9327e,FALSE,ShipHead,ShipDtl,Inner,TRUE,278407988,03657adc-bd57-40d2-8a82-b25a00df7630
,COM-ShipOpenRel,896a8f64-6307-4575-8384-f458c1fc327e,bb00687e-46ea-4803-91f3-d26689fd327e,FALSE,JobProd,JobHead,LeftOuter,TRUE,278407989,1378a3f6-a1ef-4d73-86dd-b25a00df7630
,COM-ShipOpenRel,896a8f64-6307-4575-8384-f458c1fc327e,fcf5064f-fcfd-42e6-92f9-d26689fd327e,FALSE,OrderHed,OrderDtl,Inner,TRUE,278407990,a57d644a-d451-4cd1-a521-b25a00df7630
,COM-ShipOpenRel,896a8f64-6307-4575-8384-f458c1fc327e,a770fafa-0da0-4b11-9e9f-d26689fd327e,FALSE,OrderDtl,OrderRel,Inner,TRUE,278407991,9db9f1ff-6f52-4593-9032-b25a00df7630
,COM-ShipOpenRel,896a8f64-6307-4575-8384-f458c1fc327e,c01449df-9202-4de7-a400-d26689fd327e,FALSE,OrderRel,ShipVia,LeftOuter,TRUE,278407992,a3d12d3c-9eef-4df5-923b-b25a00df7630
,COM-ShipOpenRel,896a8f64-6307-4575-8384-f458c1fc327e,7cbd0283-cb76-4476-a5ef-d26689fd327e,FALSE,ShipDtl,ShipHead,LeftOuter,TRUE,278407993,64f4046b-7122-47ed-983f-b25a00df7630
,COM-ShipOpenRel,896a8f64-6307-4575-8384-f458c1fc327e,c4d3624d-1d9b-4e75-a7c0-d26689fd327e,FALSE,OrderRel,ShipDtl,LeftOuter,TRUE,278407994,0446645e-f287-4d72-8a93-b25a00df7630
,COM-ShipOpenRel,896a8f64-6307-4575-8384-f458c1fc327e,245d5630-8b17-4f15-ac4f-d26689fd327e,FALSE,OrderRel,JobProd,LeftOuter,TRUE,278407995,8341b330-c8cc-4b83-847d-b25a00df7630
,COM-ShipOpenRel,896a8f64-6307-4575-8384-f458c1fc327e,ad02a126-92e3-464b-b084-d26689fd327e,FALSE,OrderHed,Customer,Inner,TRUE,278407996,6555f700-2345-4058-86a8-b25a00df7630
,COM-ShipOpenRel,896a8f64-6307-4575-8384-f458c1fc327e,df66d457-de74-4c3e-b0fe-d26689fd327e,FALSE,OrderDtl,ProdGrup,LeftOuter,TRUE,278407997,e5b62cbc-417d-432d-bebc-b25a00df7630
,COM-ShipOpenRel,896a8f64-6307-4575-8384-f458c1fc327e,d60fbfcd-eedd-4399-b16d-d26689fd327e,FALSE,JobHead,SalesRep,LeftOuter,TRUE,278407998,8845c244-c14f-474e-a9e4-b25a00df7630
,COM-SubcontractPOs,25c06c1c-90cf-4fb0-96c8-70c4f6d5347e,9b40eaca-c5b7-4369-863a-0b7c35d6347e,FALSE,PODetail,PORel,Inner,TRUE,278407999,91d99b0c-0884-4a5f-b7cd-b25a00df7630
