SchemaName,TableName,TableDesc,AutoIMWriteTrigger,AutoIMDeleteTrigger,SystemFlag,SysRevID,SysRowID,LastUpdated
Erp,ABCCode,"Used to classify parts in inventory based on usage and cost criteria.
At least one ABCCode must be set up if you want to use cycle counts in physical inventory processing.",TRUE,TRUE,TRUE,278410458,e416cdeb-c7e1-4c03-86ea-a0e0014a213a,
Erp,ABTAmount,This table stores list of VBD amounts related to the VBD document line.,FALSE,FALSE,TRUE,278410459,22d60525-1371-438c-b756-a0e0014a2148,
Erp,ABTDocLine,This table stores VBD Document Lines and their descriptions.,FALSE,FALSE,TRUE,278410460,71ffc0ad-d4ad-4f55-9d96-a0e0014a2148,
Erp,ABTHead,"Internal Table, PE internal data",FALSE,FALSE,TRUE,278410461,7b779c51-2e03-4be0-96f1-a0e0014a214d,
Erp,ABTHist,"Internal table, PE internal data
",FALSE,FALSE,TRUE,278410462,3784e57b-5e02-4b67-afe1-a0e0014a2151,
Erp,ABTPostCode,This table stores Posting Codes.,FALSE,FALSE,TRUE,278410463,af2d59a3-2393-4e03-a04c-a0e0014a2156,
Erp,ABTPostEntity,This table stores Posting Code groups.,FALSE,FALSE,TRUE,278410464,406008f5-acf1-4e51-8426-a0e0014a215b,
Erp,ABTQParam,Parameters for VBD Query,FALSE,FALSE,TRUE,278410465,2b6dc312-dcab-4c8b-aecf-a0e0014a215f,
Erp,ABTQuery,VBD Query,FALSE,FALSE,TRUE,278410466,204c17d2-4c6f-405a-9d7f-a0e0014a2164,
Erp,ABTWork,"Internal table, PE internal data",FALSE,FALSE,TRUE,278410467,f3a6d5f1-199f-4b6b-a319-a0e0014a2169,
Erp,AC_AccomChrgCap,Accommodation Charges Capping,FALSE,FALSE,TRUE,278410468,b0bc1913-cbc8-4541-8237-a0e0014a216d,
Erp,AC_AccTp,This table holds the access type information for the segments.,FALSE,FALSE,TRUE,278410469,c7feffa6-d025-49da-8a04-a0e0014a2177,
Erp,AC_AdjDtl,Adjustments Detail Table,FALSE,FALSE,TRUE,278410470,afa51197-120b-4f73-95ed-a0e0014a2185,
Erp,AC_AdjGrp,Adjustments Group Table,FALSE,FALSE,TRUE,278410471,61e673c9-8b9f-486b-8728-a0e0014a218e,
Erp,AC_AdjHead,Adjustments Head table.,FALSE,FALSE,TRUE,278410472,13747db9-ffbe-4e0a-951b-a0e0014a219c,
Erp,AC_AspTp,This table holds the aspect type information for the segments.,FALSE,FALSE,TRUE,278410473,3780206b-645e-4b30-a6c3-a0e0014a21aa,
